timestamp,open,high,low,close,volume
2024-10-14 22:00:00,65757.4,67300.0,65741.9,66449.2,12822.213
2024-10-14 23:00:00,66449.2,66525.9,66027.7,66080.1,5843.02
2024-10-15 00:00:00,66080.1,66337.0,65850.0,65922.1,4759.357
2024-10-15 01:00:00,65922.1,66009.2,65750.0,65868.0,2288.001
2024-10-15 02:00:00,65868.0,65932.4,65699.6,65760.0,2201.889
2024-10-15 03:00:00,65760.0,65760.0,65310.1,65401.5,5432.384
2024-10-15 04:00:00,65401.5,65693.1,65321.0,65599.0,3393.524
2024-10-15 05:00:00,65599.0,65600.0,65210.2,65361.1,3680.397
2024-10-15 06:00:00,65361.1,65616.5,65275.0,65551.1,3308.573
2024-10-15 07:00:00,65551.1,65844.1,65550.0,65651.5,4239.124
2024-10-15 08:00:00,65651.5,65854.3,65620.0,65748.8,2397.769
2024-10-15 09:00:00,65748.8,65769.0,65582.8,65628.7,2790.431
2024-10-15 10:00:00,65628.7,65738.2,65558.1,65664.0,2433.744
2024-10-15 11:00:00,65664.0,65705.8,65254.0,65380.0,7068.476
2024-10-15 12:00:00,65380.0,65944.0,65362.4,65780.8,6405.362
2024-10-15 13:00:00,65780.8,67782.4,65745.6,67665.0,26955.967
2024-10-15 14:00:00,67665.0,67999.0,65132.1,65351.0,52904.197
2024-10-15 15:00:00,65351.0,66300.0,64762.1,66009.9,30822.925
2024-10-15 16:00:00,66009.9,67234.6,65972.1,66866.0,19753.196
2024-10-15 17:00:00,66866.0,67054.7,66449.8,66807.1,9465.355
2024-10-15 18:00:00,66807.1,67396.0,66750.0,66902.0,8768.778
2024-10-15 19:00:00,66902.0,67059.9,66571.7,66957.1,7057.845
2024-10-15 20:00:00,66957.1,67000.0,66361.2,66443.6,7919.319
2024-10-15 21:00:00,66443.6,66600.0,66100.6,66414.5,7412.028
2024-10-15 22:00:00,66414.5,66988.8,66389.1,66732.3,4346.432
2024-10-15 23:00:00,66732.3,67150.2,66660.3,67057.4,3187.345
2024-10-16 00:00:00,67057.4,67131.7,66742.0,66860.1,2953.98
2024-10-16 01:00:00,66860.1,67497.5,66727.0,67367.6,5793.782
2024-10-16 02:00:00,67367.6,67570.1,67226.0,67279.2,3856.219
2024-10-16 03:00:00,67279.2,67294.0,67067.0,67088.9,2596.286
2024-10-16 04:00:00,67088.9,67236.0,66872.5,66982.0,2757.222
2024-10-16 05:00:00,66982.0,67344.1,66909.5,67200.0,2607.952
2024-10-16 06:00:00,67200.0,67299.8,66939.0,67037.5,3015.342
2024-10-16 07:00:00,67037.5,67037.5,66750.0,66962.9,3635.657
2024-10-16 08:00:00,66962.9,67261.0,66900.2,67118.2,5954.973
2024-10-16 09:00:00,67118.2,67500.7,67068.0,67413.6,6220.715
2024-10-16 10:00:00,67413.6,67827.8,67326.0,67724.5,9864.546
2024-10-16 11:00:00,67724.5,68525.0,67585.0,67883.9,21605.449
2024-10-16 12:00:00,67883.9,68064.9,67644.5,67823.8,7806.311
2024-10-16 13:00:00,67823.8,67959.9,67085.3,67373.8,13928.96
2024-10-16 14:00:00,67373.8,68327.0,67332.1,67655.9,18721.452
2024-10-16 15:00:00,67655.9,68058.8,67360.7,67735.4,7693.375
2024-10-16 16:00:00,67735.4,67924.5,67461.5,67802.5,5274.384
2024-10-16 17:00:00,67802.5,68083.3,67669.0,67927.1,3546.291
2024-10-16 18:00:00,67927.1,68051.1,67760.9,67802.3,2511.884
2024-10-16 19:00:00,67802.3,67939.9,67600.0,67700.1,3882.786
2024-10-16 20:00:00,67700.1,67942.8,67590.3,67590.4,3207.411
2024-10-16 21:00:00,67590.4,67684.1,67461.7,67538.2,2372.95
2024-10-16 22:00:00,67538.2,67850.9,67538.2,67763.5,1976.231
2024-10-16 23:00:00,67763.5,67802.3,67574.8,67595.1,3693.549
2024-10-17 00:00:00,67595.1,67921.0,67554.2,67687.8,2664.94
